Fund.No,Ticker,Cluster,Subcluster,Cash,Equity,Bond,Security,Mstar Category,Cluster Category,sharpe_ratio,absolute_return,absolute_return_val
105,APITX,25,2,0.53,99.47,0.0,0.0,Global Small-/Mid-Cap Funds,equity driven group,low: -2.2956--1.2715,high,-0.1446
2704,GFIZX,15,0,-27.46,24.75,52.82,49.9,Mixed-Asset Target Alloc Consv Funds,bond security mixed group,high: -2.0773--0.4711,low,-0.0213
2706,GGIZX,23,10,-14.33,43.8,41.53,28.97,Mixed-Asset Target Alloc Moderate Funds,Deversified group,high: -1.422--0.8415,low,-0.0489
2708,GCOZX,17,6,-9.03,69.99000000000001,21.75,17.259999999999998,Mixed-Asset Target Alloc Growth Funds,Deversified group,medium: -1.3672--1.0313,low,-0.075
2724,GGBZX,25,2,-4.77,93.16,4.67,6.93,Mixed-Asset Target Alloc Agg Gro Funds,equity driven group,medium: -1.2715--0.5888,low,-0.1015
2725,GIEZX,25,3,-2.89,94.27,3.78,4.84,International Multi-Cap Growth,equity driven group,low: -2.2956--1.2715,high,-0.1506
2727,GSCZX,25,2,-2.58,96.32,2.57,3.69,Small-Cap Core Funds,equity driven group,medium: -1.2715--0.5888,low,-0.1222
2729,GGEZX,25,0,-2.82,95.77,2.94,4.12,Large-Cap Growth Funds,equity driven group,high: -0.5888-0.4353,high,0.0099
2731,GVEZX,25,2,-4.15,96.04,3.16,4.96,Large-Cap Value Funds,equity driven group,medium: -1.2715--0.5888,low,-0.1119
2733,GEQZX,25,2,-3.4,94.44,3.67,5.28,S&P 500 Index Funds,equity driven group,high: -0.5888-0.4353,low,-0.0455
2736,GEDZX,18,0,1.45,0.16,88.11,10.28,Corporate Debt Funds A Rated,bond driven group,medium: -3.0866--1.9373,low,-0.0349
2738,GMDZX,15,6,-21.48,0.01,58.92,62.540000000000006,Core Bond Funds,bond security mixed group,medium: -3.1481--2.0773,high,-0.0102
2741,GLDZX,8,11,-56.94,0.0,72.19,84.75,Short Investment Grade Debt Funds,Leveraged security group,very low: <-2.7729,low,0.0089
2745,ARSVX,25,2,3.09,92.16,3.37,1.38,Small-Cap Core Funds,equity driven group,medium: -1.2715--0.5888,high,-0.0696
2746,ARDEX,25,2,0.45,91.54,0.14,7.88,Equity Income Funds,equity driven group,medium: -1.2715--0.5888,high,-0.0765
2748,ABMIX,25,2,-0.06,100.01,0.05,0.0,Mid-Cap Value Funds,equity driven group,low: -2.2956--1.2715,low,-0.1837
2761,MCGIX,25,0,2.23,95.18,2.48,0.1,Large-Cap Growth Funds,equity driven group,high: -0.5888-0.4353,high,-0.0152
2762,MCGFX,25,0,2.23,95.18,2.48,0.1,Large-Cap Growth Funds,equity driven group,high: -0.5888-0.4353,high,-0.0171
2763,CHTTX,25,2,-0.06,100.01,0.05,0.0,Mid-Cap Value Funds,equity driven group,low: -2.2956--1.2715,low,-0.1858
2808,ARSIX,25,2,3.09,92.16,3.37,1.38,Small-Cap Core Funds,equity driven group,medium: -1.2715--0.5888,high,-0.0677
2810,ARSMX,25,2,3.21,92.68,2.86,1.2599999999999998,Small-Cap Core Funds,equity driven group,medium: -1.2715--0.5888,high,-0.0644
2899,CHTRX,25,2,-0.15,98.29,1.8,0.05,Large-Cap Core Funds,equity driven group,medium: -1.2715--0.5888,low,-0.1878
2900,DDFIX,25,2,2.31,93.9,3.69,0.11,Equity Income Funds,equity driven group,medium: -1.2715--0.5888,high,-0.0754
